CODMUN,Ano,IDEB,AlunosAI,TotalEscolas,Aluno/Escola,TemAgua,TemEnergia,TemEsgoto,Alimentacao,Internet,Biblioteca,Aluno/Docente,TotalDocentes,Escolaridade,ComPos,Concursado,Temporario,Terceirizado,CLT,CO_REGIAO,CO_UF,TotalAlunos,SexoMasc,SexoFem,Branco,Preto,Pardo,Amarelo,Indigena,Urbano,Deficiencia,PIBpcapita,Caracterização do órgão gestor ,Sexo,EscolaridadeGestor,PosGestor,capac.gestao,PME,Pcarr,ConsEd,ConsFundeb,ConsAlim,ConsTransp,SelecDir,OrdDesp,pibmun,IDHM ,gini,poppobre,popextpobre,partido,rend,saeb,invest,investAluno,tpcons
2401909,2014,2.32962963,0.62962963,2,210,1,1,1,1,1,0.25,15,28,0.464285714,0.285714286,0.821428571,0.178571429,0,0,2,24,420,0.557142857,0.442857143,0.114285714,0,0.554761905,0.002380952,0,0.780952381,0.038095238,8336.357143,0,0,3,1,0,0,1,1,1,1,0,1,1,29761,0.58,0.397,19.597,5.896,1,0.794545963,16189802.43,7716456.45,18372.51536,1
3501806,2014,5.640114068,0.598859316,2,274.5,1,1,1,1,1,0.25,11.93478261,46,0.565217391,0.47826087,0.804347826,0.195652174,0,0,3,35,549,0.491803279,0.508196721,0.790528233,0.009107468,0.123861567,0.001821494,0,1,0.047358834,14500.32664,1,0,3,1,0,0,1,1,1,1,0,1,1,85987,0.873,0.365,1.994,0.328,1,0.94616624,29638526.26,11015908.38,20065.40689,0
3522703,2014,7.338528678,0.721945137,1,835,1,1,1,1,1,0,21.41025641,39,0.717948718,0.769230769,1,0,0,0,3,35,835,0.504191617,0.495808383,0.808383234,0.016766467,0.125748503,0.007185629,0.001197605,1,0.004790419,28450.58301,1,0,3,1,1,0,1,1,1,1,0,0,0,1198765,0.871,0.382,1.466,0.303,1,0.999129334,117759594.3,38734276.84,46388.3555,0
2415008,2014,2.944060475,0.460043197,2,231,1,1,1,1,1,0.25,18.48,25,0.486666667,0.36,0.4,0.6,0,0,2,24,462,0.547619048,0.452380952,0.244588745,0.004329004,0.316017316,0.002164502,0,1,0.025974026,8874.034349,1,1,0,0,1,0,1,1,1,1,0,1,0,27385,0.569,0.373,14.183,3.252,3,0.658502028,15138123.8,7270967.84,15738.02563,1
2503555,2014,3.703351955,0.603351955,12,137.9166667,0.416666667,1,1,1,0.416666667,0.0625,15.91346154,104,0.541666667,0.423076923,0.846153846,0.153846154,0,0,2,25,1655,0.512990937,0.487009063,0.131722054,0.021752266,0.454984894,0.003021148,0,0.276132931,0.116616314,5946.257244,1,1,2,0,0,1,1,1,1,1,0,1,0,42070,0.5,0.435,17.183,-3.427,3,0.825782754,44263595.31,21283355.25,12860.03338,1
2611408,2014,4.416136773,0.573485303,12,144.6666667,1,1,1,1,0.166666667,0,23.14666667,75,0.635555556,0.666666667,0.573333333,0.426666667,0,0,2,26,1736,0.533986175,0.466013825,0.081797235,0.003456221,0.108294931,0.001728111,0.000576037,0.884792627,0.023041475,9172.116729,1,0,3,1,1,1,1,1,1,1,0,1,0,131693,0.559,0.346,14.975,3.404,1,0.886450162,59157570.54,29214946.05,16828.88597,1
2923050,2014,3.220107079,0.550267698,21,80.85714286,1,1,1,1,0.285714286,0,12.57777778,135,0.707407407,0.851851852,1,0,0,0,2,29,1698,0.513545348,0.486454653,0.123674912,0.020612485,0.441107185,0.000588928,0.000588928,0.744994111,0.014723204,3081.717327,0,1,2,0,0,0,1,1,1,1,0,1,0,49212,0.513,0.425,24.055,6.897,3,0.720008797,75160437.48,37580218.74,22132.04873,1
2707909,2014,3.453125,0.544270833,6,200.5,1,1,1,1,0.5,0.111111111,27.34090909,44,0.5,0.386363636,0.613636364,0.386363636,0,0,2,27,1203,0.522859518,0.477140482,0.102244389,0.040731505,0.424771405,0.00166251,0,0.963424771,0.048212801,11839.26755,1,0,3,1,1,0,1,1,1,1,0,1,0,86332,0.616,0.36,14.76,4.438,3,0.782428836,30634051.71,14227374.36,11826.57885,1
2205581,2014,4.111907984,0.623815968,15,48.8,1,1,0.4,1,0.066666667,0,18.3,40,0.541666667,0.6,0.825,0.175,0,0,2,22,732,0.540983607,0.459016393,0.013661202,0.013661202,0.655737705,0,0,0.706284153,0.012295082,10848.55589,1,0,2,0,1,0,0,1,1,1,0,1,1,42993,0.526,0.367,14.111,-1.478,2,0.784507736,24477001.63,11915691.88,16278.2676,0
2924678,2014,3.100070872,0.636428065,32,44.375,0.84375,0.90625,0.75,1,0,0,13.39622642,106,0.599056604,0.641509434,0.91509434,0.08490566,0,0,2,29,1420,0.513380282,0.486619718,0.087323944,0.084507042,0.325352113,0.002816901,0.002816901,0.68028169,0.026760563,5679.076813,1,1,2,0,0,0,1,1,1,1,0,1,0,55524,0.494,0.408,19.957,4.824,2,0.710675916,43753770.08,21735068.14,15306.38601,1
