iso_alpha,year,lifeExp,pop,gdpPercap
AFG,1952,28.801,8425333,779.4453145
AFG,1957,30.332,9240934,820.8530296
AFG,1962,31.997,10267083,853.10071
AFG,1967,34.02,11537966,836.1971382
AFG,1972,36.088,13079460,739.9811058
AFG,1977,38.438,14880372,786.11336
AFG,1982,39.854,12881816,978.0114388
AFG,1987,40.822,13867957,852.3959448
AFG,1992,41.674,16317921,649.3413952
AFG,1997,41.763,22227415,635.341351
AFG,2002,42.129,25268405,726.7340548
AFG,2007,43.828,31889923,974.5803384
ALB,1952,55.23,1282697,1601.056136
ALB,1957,59.28,1476505,1942.284244
ALB,1962,64.82,1728137,2312.888958
ALB,1967,66.22,1984060,2760.196931
ALB,1972,67.69,2263554,3313.422188
ALB,1977,68.93,2509048,3533.00391
ALB,1982,70.42,2780097,3630.880722
ALB,1987,72,3075321,3738.932735
ALB,1992,71.581,3326498,2497.437901
ALB,1997,72.95,3428038,3193.054604
ALB,2002,75.651,3508512,4604.211737
ALB,2007,76.423,3600523,5937.029526
DZA,1952,43.077,9279525,2449.008185
DZA,1957,45.685,10270856,3013.976023
DZA,1962,48.303,11000948,2550.81688
DZA,1967,51.407,12760499,3246.991771
DZA,1972,54.518,14760787,4182.663766
DZA,1977,58.014,17152804,4910.416756
DZA,1982,61.368,20033753,5745.160213
DZA,1987,65.799,23254956,5681.358539
DZA,1992,67.744,26298373,5023.216647
DZA,1997,69.152,29072015,4797.295051
DZA,2002,70.994,31287142,5288.040382
DZA,2007,72.301,33333216,6223.367465
AGO,1952,30.015,4232095,3520.610273
AGO,1957,31.999,4561361,3827.940465
AGO,1962,34,4826015,4269.276742
AGO,1967,35.985,5247469,5522.776375
AGO,1972,37.928,5894858,5473.288005
AGO,1977,39.483,6162675,3008.647355
AGO,1982,39.942,7016384,2756.953672
AGO,1987,39.906,7874230,2430.208311
AGO,1992,40.647,8735988,2627.845685
AGO,1997,40.963,9875024,2277.140884
AGO,2002,41.003,10866106,2773.287312
AGO,2007,42.731,12420476,4797.231267
ARG,1952,62.485,17876956,5911.315053
ARG,1957,64.399,19610538,6856.856212
ARG,1962,65.142,21283783,7133.166023
ARG,1967,65.634,22934225,8052.953021
ARG,1972,67.065,24779799,9443.038526
ARG,1977,68.481,26983828,10079.02674
ARG,1982,69.942,29341374,8997.897412
ARG,1987,70.774,31620918,9139.671389
ARG,1992,71.868,33958947,9308.41871
ARG,1997,73.275,36203463,10967.28195
ARG,2002,74.34,38331121,8797.640716
ARG,2007,75.32,40301927,12779.37964
AUS,1952,69.12,8691212,10039.59564
AUS,1957,70.33,9712569,10949.64959
AUS,1962,70.93,10794968,12217.22686
AUS,1967,71.1,11872264,14526.12465
AUS,1972,71.93,13177000,16788.62948
AUS,1977,73.49,14074100,18334.19751
AUS,1982,74.74,15184200,19477.00928
AUS,1987,76.32,16257249,21888.88903
AUS,1992,77.56,17481977,23424.76683
AUS,1997,78.83,18565243,26997.93657
AUS,2002,80.37,19546792,30687.75473
AUS,2007,81.235,20434176,34435.36744
AUT,1952,66.8,6927772,6137.076492
AUT,1957,67.48,6965860,8842.59803
AUT,1962,69.54,7129864,10750.72111
AUT,1967,70.14,7376998,12834.6024
AUT,1972,70.63,7544201,16661.6256
AUT,1977,72.17,7568430,19749.4223
